OBJECTID,BEGIN_MP,END_MP,ROW_OWNER,FREIGHT_OP,SUBDIVISIO,SHRTLN_NAM,SHRTLN_COD,PASS_OP,PASS_NETWO,COMM_OP,COMM_NETWO,RECR_OP,RECR_NETWO,STATUS,RR_CLSS,TRK_CLSS,PASS_SPEED,FRT_SPEED,FRT_DNS,NUM_TRACK,STRACNET,CR63,SHAPE_LENG,SHAPE_Length
1,976,982.2,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,9901.03006313,12331.8803691525
2,986.3,987.3,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,2,S,"2MT,CTC",1607.47810964,2005.02422038367
3,987.3,988.3,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,2,S,"2MT,CTC",1665.81594917,2078.21270664246
4,988.3,989.5,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,2,S,"2MT,CTC",1618.94773385,2020.1722460038
5,989.5,993,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,2,S,"2MT,CTC",5627.79306932,7025.41742741087
6,993,994.3,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,3,30,30,5,2,S,"2MT,CTC",2479.70669098,3096.95036249014
7,994.3,994.9,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,3,40,40,5,2, ,"2MT,CTC",1134.4029985,1416.42597740664
8,888,889.2,BNSF,"BNSF,SJVR",Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,2,S,"2MT,CTC",1646.89836377,2019.53719302822
9,889.2,889.7,BNSF,"BNSF,SJVR",Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,2,S,"2MT,CTC",1673.30651094,2052.51030455134
10,889.7,891.1,BNSF,"BNSF,SJVR",Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,60,55,5,2,S,"2MT,CTC",1157.33175685,1419.48183652672
11,891.1,892.5,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,60,55,5,2,S,"2MT,CTC",2599.84625103,3188.30669053425
12,892.5,895.7,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,5152.45105034,6324.37926879871
13,895.7,897.7,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,3211.80241924,3945.10048931102
14,897.7,899.5,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,3425.8713543,4209.1406500307
15,899.5,905.4,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,9163.22173822,11263.7839938745
16,905.4,910.5,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,8546.89544856,10515.2652092889
17,910.5,913,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,3983.23732958,4907.81050852956
18,913,914,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,1681.12766398,2072.02304541233
19,914,919.2,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,8067.26985438,9948.2392501172
20,919.2,921.2,BNSF,BNSF,Bakersfield, , ,Amtrak,San Joaquin, , , , ,1,I,4,79,70,5,1,S,CTC,3222.9086073,3976.76259863141
